  NODES_PER_ELEMENT
   1 6
   2 6
   3 6
   4 6
   5 6
   6 6
   7 6
   8 6
   9 6
   10 6
   11 6
   12 6
   13 6
   14 6
   15 6
   16 6
   17 6
   18 6
   19 6
   20 6
   21 6
   22 6
   23 6
   24 6
   25 6
   26 6
   27 6
   28 6
   29 6
   30 6
   31 6
   32 6
   33 6
   34 6
   35 6
   36 6
   37 6
   38 6
   39 6
   40 6
   41 6
   42 6
   43 6
   44 6
   45 6
   46 6
   47 6
   48 6
   49 6
   50 6
   51 6
   52 6
   53 6
   54 6
   55 6
  END_NODES_PER_ELEMENT
  ELEMENTS
  1 132 127 117 130 121 124  
  2 16 26 19 21 23 17  
  3 118 129 113 123 120 115  
  4 41 28 34 35 32 37  
  5 15 7 9 12 8 14  
  6 117 127 119 121 122 116  
  7 132 117 136 124 128 133  
  8 106 96 90 102 92 97  
  9 129 134 113 131 125 120  
  10 6 16 19 10 17 11  
  11 19 26 38 23 33 27  
  12 28 15 9 24 14 18  
  13 118 113 104 115 108 111  
  14 34 28 9 32 18 22  
  15 41 34 55 37 45 47  
  16 89 104 84 95 94 85  
  17 9 7 1 8 3 4  
  18 119 106 100 112 103 110  
  19 66 55 54 60 52 59  
  20 90 96 70 92 82 78  
  21 134 136 113 135 126 125  
  22 1 6 9 2 5 4  
  23 84 104 113 94 108 101  
  24 89 84 71 85 76 79  
  25 54 55 34 52 45 44  
  26 66 70 81 68 75 72  
  27 56 71 63 64 67 58  
  28 38 56 43 48 49 40  
  29 117 119 100 116 110 109  
  30 100 106 90 103 97 93  
  31 100 90 77 93 83 88  
  32 117 100 98 109 99 107  
  33 63 71 84 67 76 74  
  34 56 63 43 58 51 49  
  35 43 63 53 51 57 46  
  36 77 90 70 83 78 73  
  37 100 77 98 88 86 99  
  38 53 63 77 57 69 65  
  39 43 53 29 46 42 36  
  40 6 19 9 11 13 5  
  41 34 9 29 22 20 30  
  42 38 43 19 40 31 27  
  43 117 98 113 107 105 114  
  44 113 98 84 105 91 101  
  45 136 117 113 128 114 126  
  46 70 96 81 82 87 75  
  47 70 66 54 68 59 62  
  48 70 54 53 62 50 61  
  49 77 70 53 73 61 65  
  50 29 53 54 42 50 39  
  51 43 29 19 36 25 31  
  52 84 98 77 91 86 80  
  53 19 29 9 25 20 13  
  54 54 34 29 44 30 39  
  55 63 84 77 74 80 69  
  END_ELEMENTS  
  COORDINATES  
   1   5.576271e+00  3.307042e+00   
   2   5.247672e+00  3.148470e+00   
   3   5.938476e+00  3.229278e+00   
   4   5.815523e+00  2.889222e+00   
   5   5.486923e+00  2.730651e+00   
   6   4.919072e+00  2.989899e+00   
   7   6.300682e+00  3.151515e+00   
   8   6.177728e+00  2.811459e+00   
   9   6.054774e+00  2.471402e+00   
   10   4.742345e+00  2.747475e+00   
   11   4.943578e+00  2.521300e+00   
   12   6.535543e+00  2.989899e+00   
   13   5.511429e+00  2.262051e+00   
   14   6.412590e+00  2.649842e+00   
   15   6.770405e+00  2.828283e+00   
   16   4.565617e+00  2.505051e+00   
   17   4.766850e+00  2.278876e+00   
   18   6.626163e+00  2.407418e+00   
   19   4.968083e+00  2.052701e+00   
   20   5.928776e+00  1.945867e+00   
   21   4.464549e+00  2.262626e+00   
   22   6.479064e+00  2.074707e+00   
   23   4.665782e+00  2.036451e+00   
   24   6.983978e+00  2.585859e+00   
   25   5.385430e+00  1.736516e+00   
   26   4.363482e+00  2.020202e+00   
   27   4.584067e+00  1.713219e+00   
   28   7.197551e+00  2.343434e+00   
   29   5.802777e+00  1.420331e+00   
   30   6.353065e+00  1.549172e+00   
   31   4.978566e+00  1.459038e+00   
   32   7.050452e+00  2.010723e+00   
   33   4.281766e+00  1.696970e+00   
   34   6.903353e+00  1.678012e+00   
   35   7.343304e+00  2.101010e+00   
   36   5.395913e+00  1.142854e+00   
   37   7.196205e+00  1.768299e+00   
   38   4.200051e+00  1.373737e+00   
   39   6.471579e+00  1.083748e+00   
   40   4.594550e+00  1.119557e+00   
   41   7.489057e+00  1.858586e+00   
   42   5.927631e+00  8.831571e-01   
   43   4.989049e+00  8.653759e-01   
   44   7.021867e+00  1.212588e+00   
   45   7.323439e+00  1.445067e+00   
   46   5.520767e+00  6.056795e-01   
   47   7.616291e+00  1.535354e+00   
   48   4.149826e+00  9.696970e-01   
   49   4.544325e+00  7.155162e-01   
   50   6.596433e+00  5.465740e-01   
   51   5.013456e+00  4.124359e-01   
   52   7.441953e+00  9.796431e-01   
   53   6.052485e+00  3.459831e-01   
   54   7.140381e+00  7.471649e-01   
   55   7.743526e+00  1.212121e+00   
   56   4.099601e+00  5.656566e-01   
   57   5.545174e+00  1.527395e-01   
   58   4.568732e+00  2.625762e-01   
   59   7.510186e+00  6.564107e-01   
   60   7.811758e+00  8.888889e-01   
   61   6.556530e+00  9.457240e-02   
   62   7.100478e+00  2.951633e-01   
   63   5.037863e+00 -4.050415e-02   
   64   4.091687e+00  1.616162e-01   
   65   6.168373e+00 -2.068241e-01   
   66   7.879991e+00  5.656566e-01   
   67   4.560818e+00 -1.414642e-01   
   68   7.470284e+00  2.044091e-01   
   69   5.661062e+00 -4.000677e-01   
   70   7.060576e+00 -1.568383e-01   
   71   4.083772e+00 -2.424242e-01   
   72   7.895591e+00  1.616162e-01   
   73   6.672419e+00 -4.582347e-01   
   74   4.992579e+00 -5.740488e-01   
   75   7.485883e+00 -1.996313e-01   
   76   4.515534e+00 -6.750089e-01   
   77   6.284262e+00 -7.596312e-01   
   78   7.070112e+00 -5.959105e-01   
   79   4.116194e+00 -6.464646e-01   
   80   5.615779e+00 -9.336123e-01   
   81   7.911190e+00 -2.424242e-01   
   82   7.424918e+00 -6.036717e-01   
   83   6.681955e+00 -8.973070e-01   
   84   4.947296e+00 -1.107593e+00   
   85   4.547956e+00 -1.079049e+00   
   86   6.084518e+00 -1.204746e+00   
   87   7.850225e+00 -6.464646e-01   
   88   6.469115e+00 -1.186073e+00   
   89   4.148615e+00 -1.050505e+00   
   90   7.079647e+00 -1.034983e+00   
   91   5.416035e+00 -1.378727e+00   
   92   7.434454e+00 -1.042744e+00   
   93   6.866808e+00 -1.323749e+00   
   94   4.608915e+00 -1.402282e+00   
