  NODES_PER_ELEMENT
   1 9
   2 9
   3 9
   4 9
   5 9
   6 9
   7 9
   8 9
   9 9
   10 9
   11 9
   12 9
   13 9
   14 9
   15 9
   16 9
   17 9
   18 9
   19 9
   20 9
   21 9
   22 9
   23 9
   24 9
   25 9
   26 9
   27 9
   28 9
   29 9
   30 9
   31 9
   32 9
   33 9
   34 9
   35 9
   36 9
   37 9
   38 9
   39 9
   40 9
   41 9
   42 9
   43 9
   44 9
   45 9
   46 9
   47 9
   48 9
   49 9
   50 9
   51 9
   52 9
   53 9
   54 9
   55 9
   56 9
   57 9
   58 9
   59 9
   60 9
  END_NODES_PER_ELEMENT
  ELEMENTS
  1 81 86 121 114 85 104 118 97 99  
  2 54 60 86 81 55 73 85 68 69  
  3 33 36 60 54 34 46 55 43 44  
  4 16 21 36 33 17 28 34 23 24  
  5 5 9 21 16 7 14 17 10 11  
  6 1 6 9 5 3 8 7 2 4  
  7 86 95 130 121 90 111 124 104 107  
  8 60 70 95 86 62 82 90 73 74  
  9 36 48 70 60 41 59 62 46 52  
  10 21 31 48 36 25 39 41 28 32  
  11 9 22 31 21 15 26 25 14 19  
  12 6 18 22 9 12 20 15 8 13  
  13 95 113 144 130 106 131 136 111 122  
  14 70 88 113 95 77 102 106 82 91  
  15 48 66 88 70 56 75 77 59 65  
  16 31 50 66 48 40 58 56 39 47  
  17 22 42 50 31 30 45 40 26 35  
  18 18 37 42 22 27 38 30 20 29  
  19 113 138 161 144 127 149 153 131 140  
  20 88 112 138 113 100 126 127 102 110  
  21 66 92 112 88 78 103 100 75 89  
  22 50 76 92 66 61 84 78 58 71  
  23 42 67 76 50 53 72 61 45 57  
  24 37 63 67 42 49 64 53 38 51  
  25 138 160 178 161 148 170 171 149 159  
  26 112 143 160 138 129 150 148 126 139  
  27 92 125 143 112 108 132 129 103 119  
  28 76 109 125 92 93 116 108 84 98  
  29 67 101 109 76 83 105 93 72 87  
  30 63 94 101 67 79 96 83 64 80  
  31 160 184 201 178 173 191 190 170 179  
  32 143 167 184 160 156 176 173 150 163  
  33 125 155 167 143 141 162 156 132 146  
  34 109 145 155 125 128 147 141 116 133  
  35 101 137 145 109 120 142 128 105 123  
  36 94 134 137 101 115 135 120 96 117  
  37 184 207 221 201 194 216 211 191 204  
  38 167 193 207 184 180 200 194 176 187  
  39 155 183 193 167 168 188 180 162 175  
  40 145 174 183 155 158 177 168 147 164  
  41 137 169 174 145 154 172 158 142 157  
  42 134 165 169 137 151 166 154 135 152  
  43 207 231 245 221 218 237 234 216 226  
  44 193 219 231 207 206 224 218 200 213  
  45 183 208 219 193 195 215 206 188 202  
  46 174 203 208 183 189 205 195 177 192  
  47 169 198 203 174 185 199 189 172 186  
  48 165 196 198 169 181 197 185 166 182  
  49 231 256 265 245 243 261 257 237 248  
  50 219 246 256 231 232 250 243 224 236  
  51 208 235 246 219 222 241 232 215 228  
  52 203 230 235 208 217 233 222 205 220  
  53 198 227 230 203 212 229 217 199 214  
  54 196 223 227 198 209 225 212 197 210  
  55 256 271 273 265 266 272 270 261 268  
  56 246 267 271 256 259 269 266 250 262  
  57 235 263 267 246 249 264 259 241 253  
  58 230 258 263 235 244 260 249 233 247  
  59 227 254 258 230 240 255 244 229 242  
  60 223 251 254 227 238 252 240 225 239  
  END_ELEMENTS  
  COORDINATES  
   1   9.000000e+00 -5.000000e+00   
   2   8.541667e+00 -5.000000e+00   
   3   9.000000e+00 -4.500000e+00   
   4   8.541667e+00 -4.500000e+00   
   5   8.083333e+00 -5.000000e+00   
   6   9.000000e+00 -4.000000e+00   
   7   8.083333e+00 -4.500000e+00   
   8   8.541667e+00 -4.000000e+00   
   9   8.083333e+00 -4.000000e+00   
   10   7.625000e+00 -5.000000e+00   
   11   7.625000e+00 -4.500000e+00   
   12   9.000000e+00 -3.500000e+00   
   13   8.541667e+00 -3.500000e+00   
   14   7.625000e+00 -4.000000e+00   
   15   8.083333e+00 -3.500000e+00   
   16   7.166667e+00 -5.000000e+00   
   17   7.166667e+00 -4.500000e+00   
   18   9.000000e+00 -3.000000e+00   
   19   7.625000e+00 -3.500000e+00   
   20   8.541667e+00 -3.000000e+00   
   21   7.166667e+00 -4.000000e+00   
   22   8.083333e+00 -3.000000e+00   
   23   6.708333e+00 -5.000000e+00   
   24   6.708333e+00 -4.500000e+00   
   25   7.166667e+00 -3.500000e+00   
   26   7.625000e+00 -3.000000e+00   
   27   9.000000e+00 -2.500000e+00   
   28   6.708333e+00 -4.000000e+00   
   29   8.541667e+00 -2.500000e+00   
   30   8.083333e+00 -2.500000e+00   
   31   7.166667e+00 -3.000000e+00   
   32   6.708333e+00 -3.500000e+00   
   33   6.250000e+00 -5.000000e+00   
   34   6.250000e+00 -4.500000e+00   
   35   7.625000e+00 -2.500000e+00   
   36   6.250000e+00 -4.000000e+00   
   37   9.000000e+00 -2.000000e+00   
   38   8.541667e+00 -2.000000e+00   
   39   6.708333e+00 -3.000000e+00   
