  NODES_PER_ELEMENT
   1 4
   2 4
   3 4
   4 4
   5 4
   6 4
   7 4
   8 4
   9 4
   10 4
   11 4
   12 4
   13 4
   14 4
   15 4
   16 4
   17 4
   18 4
   19 4
   20 4
   21 4
   22 4
   23 4
   24 4
   25 4
   26 4
   27 4
   28 4
   29 4
   30 4
   31 4
   32 4
   33 4
   34 4
   35 4
   36 4
   37 4
   38 4
   39 4
   40 4
   41 4
   42 4
   43 4
   44 4
   45 4
   46 4
   47 4
   48 4
   49 4
   50 4
   51 4
   52 4
   53 4
   54 4
   55 4
   56 4
   57 4
   58 4
   59 4
   60 4
  END_NODES_PER_ELEMENT
  ELEMENTS
  1 2 4 3 1  
  2 5 7 4 2  
  3 10 11 7 5  
  4 16 17 11 10  
  5 23 24 17 16  
  6 33 34 24 23  
  7 4 8 6 3  
  8 7 9 8 4  
  9 11 14 9 7  
  10 17 21 14 11  
  11 24 28 21 17  
  12 34 36 28 24  
  13 8 13 12 6  
  14 9 15 13 8  
  15 14 19 15 9  
  16 21 25 19 14  
  17 28 32 25 21  
  18 36 41 32 28  
  19 13 20 18 12  
  20 15 22 20 13  
  21 19 26 22 15  
  22 25 31 26 19  
  23 32 39 31 25  
  24 41 45 39 32  
  25 20 29 27 18  
  26 22 30 29 20  
  27 26 35 30 22  
  28 31 40 35 26  
  29 39 44 40 31  
  30 45 50 44 39  
  31 29 38 37 27  
  32 30 42 38 29  
  33 35 43 42 30  
  34 40 47 43 35  
  35 44 52 47 40  
  36 50 56 52 44  
  37 38 48 46 37  
  38 42 49 48 38  
  39 43 51 49 42  
  40 47 53 51 43  
  41 52 58 53 47  
  42 56 61 58 52  
  43 48 55 54 46  
  44 49 57 55 48  
  45 51 59 57 49  
  46 53 60 59 51  
  47 58 65 60 53  
  48 61 67 65 58  
  49 55 63 62 54  
  50 57 64 63 55  
  51 59 66 64 57  
  52 60 68 66 59  
  53 65 71 68 60  
  54 67 74 71 65  
  55 63 70 69 62  
  56 64 72 70 63  
  57 66 73 72 64  
  58 68 75 73 66  
  59 71 76 75 68  
  60 74 77 76 71  
  END_ELEMENTS  
  COORDINATES  
   1   3.500000e+00 -5.000000e+00   
   2   4.416667e+00 -5.000000e+00   
   3   3.500000e+00 -4.000000e+00   
   4   4.416667e+00 -4.000000e+00   
   5   5.333333e+00 -5.000000e+00   
   6   3.500000e+00 -3.000000e+00   
   7   5.333333e+00 -4.000000e+00   
   8   4.416667e+00 -3.000000e+00   
   9   5.333333e+00 -3.000000e+00   
   10   6.250000e+00 -5.000000e+00   
   11   6.250000e+00 -4.000000e+00   
   12   3.500000e+00 -2.000000e+00   
   13   4.416667e+00 -2.000000e+00   
   14   6.250000e+00 -3.000000e+00   
   15   5.333333e+00 -2.000000e+00   
   16   7.166667e+00 -5.000000e+00   
   17   7.166667e+00 -4.000000e+00   
   18   3.500000e+00 -1.000000e+00   
   19   6.250000e+00 -2.000000e+00   
   20   4.416667e+00 -1.000000e+00   
   21   7.166667e+00 -3.000000e+00   
   22   5.333333e+00 -1.000000e+00   
   23   8.083333e+00 -5.000000e+00   
   24   8.083333e+00 -4.000000e+00   
   25   7.166667e+00 -2.000000e+00   
   26   6.250000e+00 -1.000000e+00   
   27   3.500000e+00  0.000000e+00   
   28   8.083333e+00 -3.000000e+00   
   29   4.416667e+00  8.881784e-16   
   30   5.333333e+00  8.881784e-16   
   31   7.166667e+00 -1.000000e+00   
   32   8.083333e+00 -2.000000e+00   
   33   9.000000e+00 -5.000000e+00   
   34   9.000000e+00 -4.000000e+00   
   35   6.250000e+00  8.881784e-16   
   36   9.000000e+00 -3.000000e+00   
   37   3.500000e+00  1.000000e+00   
   38   4.416667e+00  1.000000e+00   
   39   8.083333e+00 -1.000000e+00   
   40   7.166667e+00  8.881784e-16   
   41   9.000000e+00 -2.000000e+00   
   42   5.333333e+00  1.000000e+00   
   43   6.250000e+00  1.000000e+00   
   44   8.083333e+00  8.881784e-16   
   45   9.000000e+00 -1.000000e+00   
   46   3.500000e+00  2.000000e+00   
   47   7.166667e+00  1.000000e+00   
   48   4.416667e+00  2.000000e+00   
   49   5.333333e+00  2.000000e+00   
   50   9.000000e+00  0.000000e+00   
   51   6.250000e+00  2.000000e+00   
   52   8.083333e+00  1.000000e+00   
   53   7.166667e+00  2.000000e+00   
   54   3.500000e+00  3.000000e+00   
   55   4.416667e+00  3.000000e+00   
   56   9.000000e+00  1.000000e+00   
   57   5.333333e+00  3.000000e+00   
   58   8.083333e+00  2.000000e+00   
   59   6.250000e+00  3.000000e+00   
   60   7.166667e+00  3.000000e+00   
   61   9.000000e+00  2.000000e+00   
   62   3.500000e+00  4.000000e+00   
   63   4.416667e+00  4.000000e+00   
   64   5.333333e+00  4.000000e+00   
   65   8.083333e+00  3.000000e+00   
   66   6.250000e+00  4.000000e+00   
   67   9.000000e+00  3.000000e+00   
   68   7.166667e+00  4.000000e+00   
   69   3.500000e+00  5.000000e+00   
   70   4.416667e+00  5.000000e+00   
   71   8.083333e+00  4.000000e+00   
   72   5.333333e+00  5.000000e+00   
   73   6.250000e+00  5.000000e+00   
   74   9.000000e+00  4.000000e+00   
   75   7.166667e+00  5.000000e+00   
   76   8.083333e+00  5.000000e+00   
   77   9.000000e+00  5.000000e+00   
  END_COORDINATES
  BOUNDARIES, ELEMENT
    1         1     2         1     
    2         3     1         1     
    3         2     5         2     
    4         5     10         3     
    5         10     16         4     
    6         16     23         5     
    7         23     33         6     
    8         33     34         6     
    9         6     3         7     
    10         34     36         12     
    11         12     6         13     
    12         36     41         18     
    13         18     12         19     
    14         41     45         24     
    15         27     18         25     
    16         45     50         30     
    17         37     27         31     
    18         50     56         36     
    19         46     37         37     
    20         56     61         42     
    21         54     46         43     
    22         61     67         48     
    23         62     54         49     
    24         67     74         54     
    25         70     69         55     
    26         69     62         55     
    27         72     70         56     
    28         73     72         57     
    29         75     73         58     
    30         76     75         59     
    31         74     77         60     
    32         77     76         60     
  END_BOUNDARIES
  MATERIALS, NUMBER= 1, DEFAULT=1
  END_MATERIALS
  SUBDOMAINS
  END_SUBDOMAINS
  CHARACTERISTICS
  END_CHARACTERISTICS
