  NODES_PER_ELEMENT
   1 3
   2 3
   3 3
   4 3
   5 3
   6 3
   7 3
   8 3
   9 3
   10 3
   11 3
   12 3
   13 3
   14 3
   15 3
   16 3
   17 3
   18 3
   19 3
   20 3
   21 3
   22 3
   23 3
   24 3
   25 3
   26 3
   27 3
   28 3
   29 3
   30 3
   31 3
   32 3
   33 3
   34 3
   35 3
   36 3
   37 3
   38 3
   39 3
   40 3
   41 3
   42 3
   43 3
   44 3
   45 3
   46 3
   47 3
   48 3
   49 3
   50 3
   51 3
   52 3
   53 3
   54 3
   55 3
   56 3
   57 3
   58 3
   59 3
   60 3
   61 3
   62 3
   63 3
   64 3
   65 3
   66 3
   67 3
   68 3
  END_NODES_PER_ELEMENT
  ELEMENTS
  1 47 45 42  
  2 11 6 8  
  3 44 46 41  
  4 43 40 38  
  5 17 14 13  
  6 1 2 4  
  7 42 43 38  
  8 47 42 48  
  9 40 36 38  
  10 3 1 4  
  11 41 46 48  
  12 44 41 39  
  13 45 43 42  
  14 8 6 3  
  15 11 8 14  
  16 14 8 13  
  17 2 5 4  
  18 34 39 35  
  19 5 10 9  
  20 10 15 9  
  21 17 13 22  
  22 36 33 32  
  23 15 18 16  
  24 35 39 41  
  25 34 35 28  
  26 5 9 4  
  27 4 9 7  
  28 32 33 26  
  29 36 32 38  
  30 7 9 12  
  31 4 7 8  
  32 8 7 13  
  33 16 18 21  
  34 15 16 9  
  35 18 23 21  
  36 21 23 28  
  37 23 29 28  
  38 28 29 34  
  39 28 35 30  
  40 27 22 26  
  41 27 26 33  
  42 32 26 25  
  43 16 21 19  
  44 30 35 37  
  45 28 30 24  
  46 25 26 20  
  47 32 25 31  
  48 19 21 24  
  49 16 19 12  
  50 37 35 41  
  51 30 37 31  
  52 30 31 25  
  53 24 30 25  
  54 28 24 21  
  55 20 26 22  
  56 25 20 19  
  57 32 31 38  
  58 16 12 9  
  59 7 12 13  
  60 19 20 12  
  61 12 20 13  
  62 3 4 8  
  63 41 48 42  
  64 37 41 42  
  65 37 42 38  
  66 19 24 25  
  67 31 37 38  
  68 13 20 22  
  END_ELEMENTS  
  COORDINATES  
   1   5.576271e+00  4.142097e+00   
   2   4.898305e+00  3.945328e+00   
   3   6.259808e+00  3.959596e+00   
   4   5.507800e+00  3.305011e+00   
   5   4.389831e+00  3.385396e+00   
   6   6.928178e+00  3.474747e+00   
   7   5.911999e+00  2.511548e+00   
   8   6.632946e+00  2.799665e+00   
   9   4.885442e+00  2.391446e+00   
   10   4.073176e+00  2.666667e+00   
   11   7.344781e+00  2.989899e+00   
   12   5.817932e+00  1.586078e+00   
   13   7.028873e+00  1.756830e+00   
   14   7.737690e+00  2.343434e+00   
   15   3.881356e+00  1.894751e+00   
   16   4.682163e+00  1.356065e+00   
   17   8.004346e+00  1.696970e+00   
   18   3.766680e+00  1.050505e+00   
   19   5.567497e+00  4.736909e-01   
   20   6.735569e+00  6.594860e-01   
   21   4.542311e+00  3.222746e-01   
   22   8.204270e+00  8.888889e-01   
   23   3.720279e+00  8.080808e-02   
   24   5.185426e+00 -3.937348e-01   
   25   6.284218e+00 -4.997646e-01   
   26   7.510625e+00 -2.488071e-01   
   27   8.278871e+00 -8.080808e-02   
   28   4.457881e+00 -8.685864e-01   
   29   3.753183e+00 -8.888889e-01   
   30   5.445032e+00 -1.357530e+00   
   31   6.248910e+00 -1.421012e+00   
   32   7.228293e+00 -1.221882e+00   
   33   8.175171e+00 -1.050505e+00   
   34   3.874526e+00 -1.858586e+00   
   35   4.728115e+00 -2.043981e+00   
   36   7.949788e+00 -1.858586e+00   
   37   5.685511e+00 -2.326275e+00   
   38   6.884835e+00 -2.241302e+00   
   39   4.050847e+00 -2.595611e+00   
   40   7.653055e+00 -2.505051e+00   
   41   5.019598e+00 -3.063722e+00   
   42   6.188836e+00 -3.220995e+00   
   43   7.271186e+00 -3.090817e+00   
   44   4.348283e+00 -3.313131e+00   
   45   6.762712e+00 -3.624394e+00   
   46   4.728814e+00 -3.811952e+00   
   47   6.254237e+00 -3.962727e+00   
   48   5.406780e+00 -4.134105e+00   
  END_COORDINATES
  BOUNDARIES, ELEMENT
    1         47     45         1     
    2         11     6         2     
    3         44     46         3     
    4         43     40         4     
    5         17     14         5     
    6         1     2         6     
    7         48     47         8     
    8         40     36         9     
    9         3     1         10     
    10         46     48         11     
    11         39     44         12     
    12         45     43         13     
    13         6     3         14     
    14         14     11         15     
    15         2     5         17     
    16         34     39         18     
    17         5     10         19     
    18         10     15         20     
    19         22     17         21     
    20         36     33         22     
    21         15     18         23     
    22         18     23         35     
    23         23     29         37     
    24         29     34         38     
    25         27     22         40     
    26         33     27         41     
  END_BOUNDARIES
  MATERIALS, NUMBER= 1, DEFAULT=1
  END_MATERIALS
  SUBDOMAINS
  END_SUBDOMAINS
  CHARACTERISTICS
  END_CHARACTERISTICS
