  NODES_PER_ELEMENT
   1 9
   2 9
   3 9
   4 9
   5 9
   6 9
   7 9
   8 9
   9 9
   10 9
   11 9
   12 9
   13 9
   14 9
   15 9
   16 9
   17 9
   18 9
   19 9
   20 9
   21 9
   22 9
   23 9
   24 9
   25 9
   26 9
   27 9
   28 9
   29 9
   30 9
   31 9
   32 9
   33 9
   34 9
   35 9
   36 9
   37 9
   38 9
   39 9
   40 9
   41 9
   42 9
   43 9
   44 9
   45 9
   46 9
   47 9
   48 9
   49 9
   50 9
   51 9
   52 9
   53 9
   54 9
   55 9
   56 9
   57 9
   58 9
   59 9
   60 9
   61 9
   62 9
   63 9
   64 9
   65 9
   66 9
   67 9
   68 9
  END_NODES_PER_ELEMENT
  ELEMENTS
  1 71 56 49 62 64 53 57 66 60  
  2 56 40 31 49 47 32 41 53 43  
  3 40 10 14 31 21 9 23 32 19  
  4 92 71 62 80 81 66 72 86 77  
  5 112 92 80 101 100 86 91 106 95  
  6 10 1 7 14 3 2 8 9 5  
  7 1 11 17 7 4 13 12 2 6  
  8 11 37 36 17 22 34 25 13 24  
  9 37 73 61 36 59 67 48 34 52  
  10 73 94 83 61 84 89 75 67 79  
  11 94 114 105 83 104 109 93 89 99  
  12 140 112 101 127 125 106 113 134 119  
  13 177 140 127 158 157 134 143 166 148  
  14 226 177 158 202 200 166 181 213 189  
  15 260 226 202 241 244 213 220 251 231  
  16 280 260 241 267 272 251 254 275 263  
  17 295 280 267 285 288 275 276 289 284  
  18 299 295 285 282 297 289 283 293 292  
  19 296 299 282 277 298 293 279 287 291  
  20 290 296 277 266 294 287 271 278 286  
  21 274 290 266 248 281 278 257 261 269  
  22 253 274 248 221 264 261 236 239 250  
  23 218 253 221 191 235 239 206 204 219  
  24 182 218 191 160 199 204 175 169 187  
  25 145 182 160 133 161 169 147 137 151  
  26 114 145 133 105 129 137 118 109 123  
  27 62 49 31 45 57 41 39 54 46  
  28 26 45 31 14 33 39 23 18 27  
  29 14 7 30 26 8 16 28 18 15  
  30 80 62 45 69 72 54 58 74 65  
  31 45 26 30 69 33 28 50 58 42  
  32 7 17 44 30 12 29 35 16 20  
  33 17 36 61 44 25 48 51 29 38  
  34 61 83 76 44 75 78 63 51 68  
  35 83 105 102 76 93 103 88 78 90  
  36 105 133 128 102 118 130 115 103 116  
  37 133 160 152 128 147 156 139 130 141  
  38 160 191 178 152 175 185 165 156 167  
  39 191 221 201 178 206 211 188 185 198  
  40 221 248 223 201 236 238 212 211 222  
  41 248 266 243 223 257 255 232 238 246  
  42 266 277 252 243 271 265 247 255 259  
  43 277 282 258 252 279 270 256 265 268  
  44 282 285 267 258 283 276 262 270 273  
  45 267 241 230 258 254 234 245 262 249  
  46 241 202 192 230 220 195 208 234 215  
  47 202 158 149 192 181 154 168 195 173  
  48 158 127 122 149 143 124 135 154 138  
  49 101 80 69 96 91 74 82 97 87  
  50 127 101 96 122 113 97 107 124 111  
  51 30 44 76 69 35 63 70 50 55  
  52 69 76 102 96 70 88 98 82 85  
  53 252 258 230 228 256 245 229 240 242  
  54 243 252 228 225 247 240 227 233 237  
  55 223 243 225 207 232 233 217 216 224  
  56 201 223 207 186 212 216 196 193 205  
  57 178 201 186 172 188 193 180 174 184  
  58 230 192 197 228 208 194 210 229 209  
  59 152 178 172 155 165 174 163 153 164  
  60 192 149 171 197 168 159 183 194 176  
  61 225 228 197 207 227 210 203 217 214  
  62 207 197 171 186 203 183 179 196 190  
  63 171 155 172 186 162 163 180 179 170  
  64 96 102 117 122 98 110 120 107 108  
  65 102 128 136 117 115 132 126 110 121  
  66 122 117 136 149 120 126 144 135 131  
  67 171 149 136 155 159 144 146 162 150  
  68 155 136 128 152 146 132 139 153 142  
  END_ELEMENTS  
  COORDINATES  
   1   5.915254e+00 -3.288971e+00   
   2   5.896145e+00 -2.979200e+00   
   3   5.576271e+00 -3.250695e+00   
   4   6.241664e+00 -3.139435e+00   
   5   5.611898e+00 -2.963155e+00   
   6   6.181987e+00 -2.868885e+00   
   7   5.877037e+00 -2.669429e+00   
   8   5.647524e+00 -2.675615e+00   
   9   5.327650e+00 -2.947110e+00   
   10   5.237288e+00 -3.212419e+00   
   11   6.568074e+00 -2.989899e+00   
   12   6.122309e+00 -2.598334e+00   
   13   6.467828e+00 -2.758569e+00   
   14   5.418011e+00 -2.681802e+00   
   15   5.647455e+00 -2.466482e+00   
   16   5.842168e+00 -2.424566e+00   
   17   6.367581e+00 -2.527240e+00   
   18   5.452741e+00 -2.508399e+00   
   19   5.125206e+00 -2.810017e+00   
   20   6.092617e+00 -2.357504e+00   
   21   5.005622e+00 -3.020351e+00   
   22   6.752109e+00 -2.828283e+00   
   23   5.244790e+00 -2.599683e+00   
   24   6.644895e+00 -2.648508e+00   
   25   6.537681e+00 -2.468733e+00   
   26   5.487471e+00 -2.334996e+00   
   27   5.305124e+00 -2.424304e+00   
   28   5.647385e+00 -2.257349e+00   
   29   6.343066e+00 -2.290442e+00   
   30   5.807300e+00 -2.179702e+00   
   31   5.071569e+00 -2.517564e+00   
   32   4.922762e+00 -2.672923e+00   
   33   5.365458e+00 -2.248926e+00   
   34   6.821962e+00 -2.538446e+00   
   35   6.062926e+00 -2.116673e+00   
   36   6.707780e+00 -2.410226e+00   
   37   6.936144e+00 -2.666667e+00   
   38   6.553382e+00 -2.256970e+00   
   39   5.157507e+00 -2.340210e+00   
   40   4.773956e+00 -2.828283e+00   
   41   4.963323e+00 -2.463613e+00   
   42   5.521419e+00 -2.086373e+00   
   43   4.832947e+00 -2.585342e+00   
   44   6.318552e+00 -2.053644e+00   
   45   5.243446e+00 -2.162855e+00   
   46   5.009344e+00 -2.305250e+00   
   47   4.702571e+00 -2.707071e+00   
   48   6.763698e+00 -2.223498e+00   
   49   4.855078e+00 -2.409662e+00   
