  NODES_PER_ELEMENT
   1 6
   2 6
   3 6
   4 6
   5 6
   6 6
   7 6
   8 6
   9 6
   10 6
   11 6
   12 6
   13 6
   14 6
   15 6
   16 6
   17 6
   18 6
   19 6
   20 6
   21 6
   22 6
   23 6
   24 6
   25 6
   26 6
   27 6
   28 6
   29 6
   30 6
   31 6
   32 6
   33 6
   34 6
   35 6
   36 6
   37 6
   38 6
   39 6
   40 6
   41 6
   42 6
   43 6
   44 6
   45 6
   46 6
   47 6
   48 6
   49 6
   50 6
   51 6
   52 6
   53 6
   54 6
   55 6
   56 6
   57 6
   58 6
   59 6
   60 6
   61 6
   62 6
   63 6
   64 6
   65 6
   66 6
   67 6
   68 6
  END_NODES_PER_ELEMENT
  ELEMENTS
  1 161 157 146 158 151 154  
  2 31 18 24 26 20 28  
  3 149 159 142 155 150 145  
  4 148 138 128 141 132 139  
  5 59 46 45 53 44 50  
  6 1 7 9 2 6 4  
  7 146 148 128 147 139 137  
  8 161 146 163 154 156 162  
  9 138 124 128 131 125 132  
  10 8 1 9 3 4 5  
  11 142 159 163 150 160 153  
  12 149 142 135 145 140 143  
  13 157 148 146 152 147 151  
  14 24 18 8 20 12 13  
  15 31 24 46 28 36 40  
  16 46 24 45 36 35 44  
  17 7 17 9 11 10 6  
  18 121 135 122 130 129 120  
  19 17 30 27 25 29 19  
  20 30 47 27 39 37 29  
  21 59 45 74 50 60 67  
  22 124 112 107 119 110 115  
  23 47 61 49 54 56 48  
  24 122 135 142 129 140 133  
  25 121 122 94 120 109 108  
  26 17 27 9 19 16 10  
  27 9 27 22 16 23 15  
  28 107 112 87 110 100 97  
  29 124 107 128 115 118 125  
  30 22 27 41 23 33 32  
  31 9 22 24 15 21 14  
  32 24 22 45 21 34 35  
  33 49 61 69 56 65 58  
  34 47 49 27 48 38 37  
  35 61 79 69 70 75 65  
  36 69 79 94 75 86 80  
  37 79 101 94 90 98 86  
  38 94 101 121 98 111 108  
  39 94 122 103 109 113 99  
  40 91 74 87 82 78 89  
  41 91 87 112 89 100 102  
  42 107 87 84 97 85 95  
  43 49 69 63 58 66 57  
  44 103 122 127 113 123 114  
  45 94 103 81 99 92 88  
  46 84 87 64 85 76 72  
  47 107 84 106 95 96 105  
  48 63 69 81 66 77 71  
  49 49 63 41 57 52 43  
  50 127 122 142 123 133 134  
  51 103 127 106 114 116 104  
  52 103 106 84 104 96 93  
  53 81 103 84 92 93 83  
  54 94 81 69 88 77 80  
  55 64 87 74 76 78 68  
  56 84 64 63 72 62 73  
  57 107 106 128 105 117 118  
  58 49 41 27 43 33 38  
  59 22 41 45 32 42 34  
  60 63 64 41 62 51 52  
  61 41 64 45 51 55 42  
  62 8 9 24 5 14 13  
  63 142 163 146 153 156 144  
  64 127 142 146 134 144 136  
  65 127 146 128 136 137 126  
  66 63 81 84 71 83 73  
  67 106 127 128 116 126 117  
  68 45 64 74 55 68 60  
  END_ELEMENTS  
  COORDINATES  
   1   5.576271e+00  4.142097e+00   
   2   5.237288e+00  4.043713e+00   
   3   5.918040e+00  4.050847e+00   
   4   5.542036e+00  3.723554e+00   
   5   5.883804e+00  3.632303e+00   
   6   5.203053e+00  3.625170e+00   
   7   4.898305e+00  3.945328e+00   
   8   6.259808e+00  3.959596e+00   
   9   5.507800e+00  3.305011e+00   
   10   4.948815e+00  3.345203e+00   
   11   4.644068e+00  3.665362e+00   
   12   6.593993e+00  3.717172e+00   
   13   6.446377e+00  3.379630e+00   
   14   6.070373e+00  3.052338e+00   
   15   5.709900e+00  2.908279e+00   
   16   5.196621e+00  2.848229e+00   
   17   4.389831e+00  3.385396e+00   
   18   6.928178e+00  3.474747e+00   
   19   4.637636e+00  2.888421e+00   
   20   6.780562e+00  3.137206e+00   
   21   6.272473e+00  2.655606e+00   
   22   5.911999e+00  2.511548e+00   
   23   5.398721e+00  2.451497e+00   
   24   6.632946e+00  2.799665e+00   
   25   4.231503e+00  3.026031e+00   
   26   7.136480e+00  3.232323e+00   
   27   4.885442e+00  2.391446e+00   
   28   6.988864e+00  2.894782e+00   
   29   4.479309e+00  2.529056e+00   
   30   4.073176e+00  2.666667e+00   
   31   7.344781e+00  2.989899e+00   
   32   5.864965e+00  2.048813e+00   
   33   5.351687e+00  1.988762e+00   
   34   6.470436e+00  2.134189e+00   
   35   6.830910e+00  2.278248e+00   
   36   7.185318e+00  2.571550e+00   
   37   4.383399e+00  2.143099e+00   
   38   4.783803e+00  1.873755e+00   
   39   3.977266e+00  2.280709e+00   
   40   7.541236e+00  2.666667e+00   
   41   5.817932e+00  1.586078e+00   
   42   6.423403e+00  1.671454e+00   
   43   5.250047e+00  1.471071e+00   
   44   7.383282e+00  2.050132e+00   
   45   7.028873e+00  1.756830e+00   
   46   7.737690e+00  2.343434e+00   
   47   3.881356e+00  1.894751e+00   
   48   4.281760e+00  1.625408e+00   
   49   4.682163e+00  1.356065e+00   
   50   7.516610e+00  1.726900e+00   
   51   6.276750e+00  1.122782e+00   
   52   5.692714e+00  1.029884e+00   
   53   7.871018e+00  2.020202e+00   
   54   3.824018e+00  1.472628e+00   
   55   6.882221e+00  1.208158e+00   
   56   4.224422e+00  1.203285e+00   
   57   5.124830e+00  9.148778e-01   
   58   4.612237e+00  8.391696e-01   
   59   8.004346e+00  1.696970e+00   
   60   7.616572e+00  1.322860e+00   
   61   3.766680e+00  1.050505e+00   
   62   6.151533e+00  5.665884e-01   
   63   5.567497e+00  4.736909e-01   
   64   6.735569e+00  6.594860e-01   
   65   4.154496e+00  6.863898e-01   
   66   5.054904e+00  3.979828e-01   
   67   8.104308e+00  1.292929e+00   
   68   7.469920e+00  7.741874e-01   
   69   4.542311e+00  3.222746e-01   
   70   3.743480e+00  5.656566e-01   
   71   5.376462e+00  3.997807e-02   
   72   6.509893e+00  7.986068e-02   
   73   5.925857e+00 -1.303685e-02   
   74   8.204270e+00  8.888889e-01   
   75   4.131295e+00  2.015414e-01   
   76   7.123097e+00  2.053395e-01   
   77   4.863869e+00 -3.573008e-02   
   78   7.857448e+00  3.200409e-01   
   79   3.720279e+00  8.080808e-02   
   80   4.500096e+00 -2.731559e-01   
   81   5.185426e+00 -3.937348e-01   
   82   8.241570e+00  4.040404e-01   
   83   5.734822e+00 -4.467497e-01   
   84   6.284218e+00 -4.997646e-01   
   85   6.897421e+00 -3.742858e-01   
   86   4.089080e+00 -3.938891e-01   
   87   7.510625e+00 -2.488071e-01   
   88   4.821654e+00 -6.311606e-01   
   89   7.894748e+00 -1.648076e-01   
   90   3.736731e+00 -4.040404e-01   
   91   8.278871e+00 -8.080808e-02   
   92   5.315229e+00 -8.756324e-01   
   93   5.864625e+00 -9.286473e-01   
   94   4.457881e+00 -8.685864e-01   
   95   6.756255e+00 -8.608231e-01   
   96   6.266564e+00 -9.603883e-01   
   97   7.369459e+00 -7.353443e-01   
   98   4.105532e+00 -8.787376e-01   
   99   4.951457e+00 -1.113058e+00   
   100   7.842898e+00 -6.496561e-01   
   101   3.753183e+00 -8.888889e-01   
   102   8.227021e+00 -5.656566e-01   
   103   5.445032e+00 -1.357530e+00   
   104   5.846971e+00 -1.389271e+00   
   105   6.738601e+00 -1.321447e+00   
   106   6.248910e+00 -1.421012e+00   
   107   7.228293e+00 -1.221882e+00   
   108   4.166203e+00 -1.363586e+00   
   109   4.592998e+00 -1.456284e+00   
   110   7.701732e+00 -1.136193e+00   
   111   3.813855e+00 -1.373737e+00   
   112   8.175171e+00 -1.050505e+00   
   113   5.086573e+00 -1.700756e+00   
   114   5.565271e+00 -1.841903e+00   
   115   7.589040e+00 -1.540234e+00   
   116   5.967210e+00 -1.873643e+00   
   117   6.566873e+00 -1.831157e+00   
   118   7.056564e+00 -1.731592e+00   
   119   8.062479e+00 -1.454545e+00   
   120   4.301320e+00 -1.951284e+00   
   121   3.874526e+00 -1.858586e+00   
   122   4.728115e+00 -2.043981e+00   
   123   5.206813e+00 -2.185128e+00   
   124   7.949788e+00 -1.858586e+00   
   125   7.417311e+00 -2.049944e+00   
   126   6.285173e+00 -2.283788e+00   
   127   5.685511e+00 -2.326275e+00   
   128   6.884835e+00 -2.241302e+00   
   129   4.389481e+00 -2.319796e+00   
   130   3.962687e+00 -2.227098e+00   
   131   7.801422e+00 -2.181818e+00   
   132   7.268945e+00 -2.373176e+00   
   133   4.873856e+00 -2.553852e+00   
   134   5.352554e+00 -2.694998e+00   
   135   4.050847e+00 -2.595611e+00   
   136   5.937173e+00 -2.773635e+00   
   137   6.536836e+00 -2.731149e+00   
   138   7.653055e+00 -2.505051e+00   
   139   7.078011e+00 -2.666059e+00   
   140   4.535223e+00 -2.829666e+00   
   141   7.462121e+00 -2.797934e+00   
   142   5.019598e+00 -3.063722e+00   
   143   4.199565e+00 -2.954371e+00   
   144   5.604217e+00 -3.142358e+00   
   145   4.683941e+00 -3.188426e+00   
   146   6.188836e+00 -3.220995e+00   
   147   6.730011e+00 -3.155906e+00   
   148   7.271186e+00 -3.090817e+00   
   149   4.348283e+00 -3.313131e+00   
   150   4.874206e+00 -3.437837e+00   
   151   6.475774e+00 -3.422694e+00   
   152   7.016949e+00 -3.357605e+00   
   153   5.213189e+00 -3.598914e+00   
   154   6.221537e+00 -3.591861e+00   
   155   4.538548e+00 -3.562542e+00   
   156   5.797808e+00 -3.677550e+00   
   157   6.762712e+00 -3.624394e+00   
   158   6.508475e+00 -3.793561e+00   
   159   4.728814e+00 -3.811952e+00   
   160   5.067797e+00 -3.973029e+00   
   161   6.254237e+00 -3.962727e+00   
   162   5.830508e+00 -4.048416e+00   
   163   5.406780e+00 -4.134105e+00   
  END_COORDINATES
  BOUNDARIES, ELEMENT
    1         161     157     158         1     
    2         31     18     26         2     
    3         149     159     155         3     
    4         148     138     141         4     
    5         59     46     53         5     
    6         1     7     2         6     
    7         163     161     162         8     
    8         138     124     131         9     
    9         8     1     3         10     
    10         159     163     160         11     
    11         135     149     143         12     
    12         157     148     152         13     
    13         18     8     12         14     
    14         46     31     40         15     
    15         7     17     11         17     
    16         121     135     130         18     
    17         17     30     25         19     
    18         30     47     39         20     
    19         74     59     67         21     
    20         124     112     119         22     
    21         47     61     54         23     
    22         61     79     70         35     
    23         79     101     90         37     
    24         101     121     111         38     
    25         91     74     82         40     
    26         112     91     102         41     
  END_BOUNDARIES
  MATERIALS, NUMBER= 1, DEFAULT=1
  END_MATERIALS
  SUBDOMAINS
  END_SUBDOMAINS
  CHARACTERISTICS
  END_CHARACTERISTICS
