  NODES_PER_ELEMENT
   1 4
   2 4
   3 4
   4 4
   5 4
   6 4
   7 4
   8 4
   9 4
   10 4
   11 4
   12 4
   13 4
   14 4
   15 4
   16 4
   17 4
   18 4
   19 4
   20 4
   21 4
   22 4
   23 4
   24 4
   25 4
   26 4
   27 4
   28 4
   29 4
   30 4
   31 4
   32 4
   33 4
   34 4
   35 4
   36 4
   37 4
   38 4
   39 4
   40 4
   41 4
   42 4
   43 4
   44 4
   45 4
   46 4
   47 4
   48 4
   49 4
   50 4
   51 4
   52 4
   53 4
   54 4
   55 4
   56 4
   57 4
   58 4
   59 4
   60 4
   61 4
   62 4
   63 4
   64 4
   65 4
   66 4
   67 4
   68 4
  END_NODES_PER_ELEMENT
  ELEMENTS
   78   5.178395e+00  2.651785e+00   
   79   6.770405e+00  2.828283e+00   
   80   4.919072e+00  2.989899e+00   
   81   6.300682e+00  3.151515e+00   
   82   5.576271e+00  3.307042e+00   
  END_COORDINATES
  BOUNDARIES, ELEMENT
    1         20     16         1     
    2         16     12         2     
    3         12     3         3     
    4         25     20         4     
    5         31     25         5     
    6         3     1         6     
    7         1     4         7     
    8         4     11         8     
    9         11     21         9     
    10         21     26         10     
    11         26     32         11     
    12         39     31         12     
    13         48     39         13     
    14         62     48         14     
    15         71     62         15     
    16         76     71         16     
    17         80     76         17     
    18         82     80         18     
    19         81     82         19     
    20         79     81         20     
    21         74     79         21     
    22         69     74         22     
    23         58     69         23     
    24         50     58         24     
    25         40     50         25     
    26         32     40         26     
  END_BOUNDARIES
  MATERIALS, NUMBER= 1, DEFAULT=1
  END_MATERIALS
  SUBDOMAINS
  END_SUBDOMAINS
  CHARACTERISTICS
  END_CHARACTERISTICS
